RoleName,RoleArn,UnderCFN,CFNStackName
securityToolingPipelineSt-securityToolingPipelinec-1G62YZBVVD2UO,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelinec-1G62YZBVVD2UO,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelineC-1LKNPD8RUH7AZ,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelineC-1LKNPD8RUH7AZ,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelinec-1RRZKW0JSQRG2,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelinec-1RRZKW0JSQRG2,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelinec-JYCF06U8GMM2,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelinec-JYCF06U8GMM2,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelinec-VREEFXWDYK41,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelinec-VREEFXWDYK41,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelines-19H00S56TZ5GY,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelines-19H00S56TZ5GY,Yes,securityToolingPipelineStack
securityToolingPipelineSt-securityToolingPipelineU-1XHLG5PL52YPJ,arn:aws:iam::909180469036:role/securityToolingPipelineSt-securityToolingPipelineU-1XHLG5PL52YPJ,Yes,securityToolingPipelineStack
ShadowTrooperRole,arn:aws:iam::909180469036:role/ShadowTrooperRole,No,
ssmInstance,arn:aws:iam::909180469036:role/ssmInstance,No,
TELUS-EventBridge-RoletoPublishto-CentralAccount,arn:aws:iam::909180469036:role/security/TELUS-EventBridge-RoletoPublishto-CentralAccount,Yes,eventsmemberstack
TELUS-File1-DEMO-1,arn:aws:iam::909180469036:role/testpath/TELUS-File1-DEMO-1,Yes,IamRoleConfigStack
telus-sh-security-eventbridge-rules--ca-central-1,arn:aws:iam::909180469036:role/security/telus-sh-security-eventbridge-rules--ca-central-1,Yes,SpokedetectivecontrolsStackCanada
telus-sh-security-eventbridge-rules--us-east-1,arn:aws:iam::909180469036:role/security/telus-sh-security-eventbridge-rules--us-east-1,Yes,SpokedetectivecontrolsStack
telus-sh-security-eventbridge-rules--us-east-2,arn:aws:iam::909180469036:role/security/telus-sh-security-eventbridge-rules--us-east-2,Yes,SpokedetectivecontrolsStackUSeast2
